BG,EventDate,RoundedTime,BGEvent,InsulinDelivered,FoodDelivered,CorrectionDelivered,CarbSize,Target,CorrectionFactor,CarbRatio,MinTarget,MaxTarget
16349.0,16349,16349,774.0,774.0,774.0,774.0,774.0,774.0,774.0,774.0,16349.0,16349.0
199.01914490182887,2024-12-18 15:17:46.854242048,1900-01-01 11:55:23.983118336,218.43927648578813,4.794431524547804,1.9235658914728682,0.26943152454780367,8.011627906976743,110.0,18.186046511627907,1.8222222222222224,70.0,150.0
39.0,2024-11-20 00:00:00,1900-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,110.0,17.0,0.0,70.0,150.0
148.0,2024-12-04 00:00:00,1900-01-01 05:55:00,192.0,1.5625,0.0,0.0,0.0,110.0,17.0,0.0,70.0,150.0
189.0,2024-12-19 00:00:00,1900-01-01 11:55:00,222.0,2.96,0.0,0.0,0.0,110.0,19.0,0.0,70.0,150.0
239.0,2025-01-02 00:00:00,1900-01-01 17:55:00,264.0,6.0,0.0,0.0,0.0,110.0,19.0,4.0,70.0,150.0
401.0,2025-01-16 00:00:00,1900-01-01 23:55:00,407.0,20.0,20.0,11.9,100.0,110.0,22.0,4.4,70.0,150.0
63.26403758577513,,,78.47467802956086,4.728169594045119,4.769303685353854,1.0764437339598245,20.01671020385968,0.0,1.2351101800868531,2.0081650206185664,0.0,0.0
